iter	Passed	Remaining
0	56	8435
1	57	4223
2	57	2815
3	57	2111
4	58	1688
5	58	1410
6	59	1209
7	59	1059
8	60	945
9	60	850
10	61	774
11	62	714
12	62	659
13	62	611
14	63	570
15	63	534
16	64	502
17	64	475
18	65	450
19	65	426
20	66	405
21	66	386
22	66	368
23	67	353
24	67	338
25	68	324
26	68	312
27	69	301
28	70	292
29	70	282
30	70	272
31	71	262
32	71	254
33	72	245
34	72	237
35	72	230
36	73	223
37	73	216
38	73	210
39	74	204
40	74	198
41	74	192
42	75	187
43	75	182
44	76	177
45	76	173
46	77	169
47	77	165
48	78	160
49	78	156
50	78	153
51	79	149
52	79	145
53	80	142
54	80	139
55	80	135
56	81	132
57	81	129
58	81	126
59	82	123
60	82	120
61	83	117
62	83	115
63	83	112
64	84	110
65	84	107
66	85	105
67	85	103
68	85	100
69	86	98
70	86	96
71	86	94
72	87	92
73	87	90
74	88	88
75	88	86
76	88	84
77	89	82
78	89	80
79	89	78
80	90	76
81	90	75
82	91	73
83	91	72
84	92	70
85	92	68
86	92	67
87	93	65
88	93	64
89	93	62
90	94	61
91	94	59
92	95	58
93	95	57
94	96	55
95	96	54
96	96	52
97	97	51
98	97	50
99	97	48
100	98	47
101	98	46
102	99	45
103	99	44
104	100	42
105	100	41
106	101	40
107	101	39
108	102	38
109	102	37
110	103	36
111	103	35
112	104	34
113	104	32
114	104	31
115	105	30
116	105	29
117	105	28
118	106	27
119	106	26
120	107	25
121	107	24
122	107	23
123	108	22
124	108	21
125	109	20
126	109	19
127	110	18
128	110	18
129	112	17
130	112	16
131	113	15
132	113	14
133	113	13
134	114	12
135	114	11
136	114	10
137	115	10
138	115	9
139	116	8
140	117	7
141	118	6
142	118	5
143	119	4
144	119	4
145	120	3
146	120	2
147	121	1
148	121	0
149	121	0
