date,expiry,spot_close,atm_strike,CE,PE
2025-10-24,2025-10-30,25795.15,25800,NIFTY_20251030_25800CE,NIFTY_20251030_25800PE
2025-10-27,2025-10-30,25966.05,25950,NIFTY_20251030_25950CE,NIFTY_20251030_25950PE
2025-10-28,2025-10-30,25936.2,25950,NIFTY_20251030_25950CE,NIFTY_20251030_25950PE
2025-10-29,2025-10-30,26053.9,26050,NIFTY_20251030_26050CE,NIFTY_20251030_26050PE
2025-10-30,2025-10-30,25877.85,25900,NIFTY_20251030_25900CE,NIFTY_20251030_25900PE
2025-10-31,2025-11-06,25722.1,25700,NIFTY_20251106_25700CE,NIFTY_20251106_25700PE
2025-11-03,2025-11-06,25763.35,25750,NIFTY_20251106_25750CE,NIFTY_20251106_25750PE
2025-11-04,2025-11-06,25597.65,25600,NIFTY_20251106_25600CE,NIFTY_20251106_25600PE
2025-11-06,2025-11-06,25509.7,25500,NIFTY_20251106_25500CE,NIFTY_20251106_25500PE
2025-11-07,2025-11-13,25492.3,25500,NIFTY_20251113_25500CE,NIFTY_20251113_25500PE
2025-11-10,2025-11-13,25574.35,25550,NIFTY_20251113_25550CE,NIFTY_20251113_25550PE
2025-11-11,2025-11-13,25694.95,25700,NIFTY_20251113_25700CE,NIFTY_20251113_25700PE
2025-11-12,2025-11-13,25875.8,25900,NIFTY_20251113_25900CE,NIFTY_20251113_25900PE
2025-11-13,2025-11-13,25879.15,25900,NIFTY_20251113_25900CE,NIFTY_20251113_25900PE
2025-11-14,2025-11-20,25910.05,25900,NIFTY_20251120_25900CE,NIFTY_20251120_25900PE
2025-11-17,2025-11-20,26013.45,26000,NIFTY_20251120_26000CE,NIFTY_20251120_26000PE
2025-11-18,2025-11-20,25910.05,25900,NIFTY_20251120_25900CE,NIFTY_20251120_25900PE
2025-11-19,2025-11-20,26052.65,26050,NIFTY_20251120_26050CE,NIFTY_20251120_26050PE
2025-11-20,2025-11-20,26192.15,26200,NIFTY_20251120_26200CE,NIFTY_20251120_26200PE
2025-11-21,2025-11-27,26068.15,26050,NIFTY_20251127_26050CE,NIFTY_20251127_26050PE
2025-11-24,2025-11-27,25959.5,25950,NIFTY_20251127_25950CE,NIFTY_20251127_25950PE
2025-11-25,2025-11-27,25884.8,25900,NIFTY_20251127_25900CE,NIFTY_20251127_25900PE
2025-11-26,2025-11-27,26205.3,26200,NIFTY_20251127_26200CE,NIFTY_20251127_26200PE
2025-11-27,2025-11-27,26215.55,26200,NIFTY_20251127_26200CE,NIFTY_20251127_26200PE
